Sex,Pclass,Age,Fare,num.together
male,3,22,7.25,1
female,1,38,71.2833,1
female,3,26,7.925,1
female,1,35,53.1,2
male,3,35,8.05,1
male,3,36.1005551884499,8.4583,1
male,1,54,51.8625,1
male,3,2,21.075,4
female,3,27,11.1333,3
female,2,14,30.0708,2
female,3,4,16.7,2
female,1,58,26.55,1
male,3,20,8.05,1
male,3,39,31.275,7
female,3,14,7.8542,1
female,2,55,16,1
male,3,2,29.125,5
male,2,36.1005551884499,13,1
female,3,31,18,1
female,3,36.1005551884499,7.225,1
male,2,35,26,2
male,2,34,13,1
female,3,15,8.0292,1
male,1,28,35.5,1
female,3,8,21.075,4
female,3,38,31.3875,4
male,3,36.1005551884499,7.225,1
male,1,19,263,4
female,3,36.1005551884499,7.8792,1
male,3,36.1005551884499,7.8958,1
male,1,40,27.7208,1
female,1,36.1005551884499,146.5208,2
female,3,36.1005551884499,7.75,1
male,2,66,10.5,1
male,1,28,82.1708,2
male,1,42,52,2
male,3,36.1005551884499,7.2292,1
male,3,21,8.05,1
female,3,18,18,2
female,3,14,11.2417,2
female,3,40,9.475,1
female,2,27,21,2
male,3,36.1005551884499,7.8958,1
female,2,3,41.5792,3
female,3,19,7.8792,1
male,3,36.1005551884499,8.05,1
male,3,36.1005551884499,15.5,1
female,3,36.1005551884499,7.75,1
male,3,36.1005551884499,21.6792,1
female,3,18,17.8,2
male,3,7,39.6875,6
male,3,21,7.8,1
female,1,49,76.7292,3
female,2,29,26,1
male,1,65,61.9792,1
male,1,36.1005551884499,35.5,1
female,2,21,10.5,1
male,3,28.5,7.2292,1
female,2,5,27.75,3
male,3,11,46.9,6
male,3,22,7.2292,1
female,1,38,80,2
male,1,45,83.475,2
male,3,4,27.9,6
male,1,36.1005551884499,27.7208,1
male,3,36.1005551884499,15.2458,2
female,2,29,10.5,1
male,3,19,8.1583,1
female,3,17,7.925,1
male,3,26,8.6625,1
male,2,32,10.5,1
female,3,16,46.9,6
male,2,21,73.5,5
male,3,26,14.4542,1
male,3,32,56.4958,7
male,3,25,7.65,1
male,3,36.1005551884499,7.8958,1
male,3,36.1005551884499,8.05,1
male,2,0.83,29,2
female,3,30,12.475,2
male,3,22,9,1
male,3,29,9.5,1
female,3,36.1005551884499,7.7875,1
male,1,28,47.1,1
female,2,17,10.5,1
female,3,33,15.85,2
male,3,16,34.375,4
male,3,36.1005551884499,8.05,1
female,1,23,263,4
male,3,24,8.05,1
male,3,29,8.05,1
male,3,20,7.8542,1
male,1,46,61.175,1
male,3,26,20.575,2
male,3,59,7.25,1
male,3,36.1005551884499,8.05,1
male,1,71,34.6542,1
male,1,23,63.3583,1
female,2,34,23,2
male,2,34,26,2
female,3,28,7.8958,1
male,3,36.1005551884499,7.8958,1
male,1,21,77.2875,2
male,3,33,8.6542,1
male,3,37,7.925,1
male,3,28,7.8958,1
female,3,21,7.65,1
male,3,36.1005551884499,7.775,1
male,3,38,7.8958,1
female,3,36.1005551884499,24.15,3
male,1,47,52,2
female,3,14.5,14.4542,2
male,3,22,8.05,1
female,3,20,9.825,1
female,3,17,14.4583,2
male,3,21,7.925,1
male,3,70.5,7.75,1
male,2,29,21,2
male,1,24,247.5208,2
female,3,2,31.275,7
male,2,21,73.5,5
male,3,36.1005551884499,8.05,1
male,2,32.5,30.0708,2
female,2,32.5,13,1
male,1,54,77.2875,2
male,3,12,11.2417,2
male,3,36.1005551884499,7.75,1
male,3,24,7.1417,1
female,3,36.1005551884499,22.3583,2
